	Run	Dataset	F1_Junction
137	DRAGEN 4.0.3 default	human T1	95.7937305157308
138	DRAGEN 4.0.3 default	human T2	95.4882952815432
139	DRAGEN 4.0.3 default	human T3	88.6185833062433
140	DRAGEN 4.0.3 default	malaria T1	95.4867972790566
141	DRAGEN 4.0.3 default	malaria T2	95.2269261489281
142	DRAGEN 4.0.3 default	malaria T3	88.4812492318006
725	DeepSAP MS150	human T1	98.8459663142987
825	DeepSAP MS150	human T2	98.5913357525118
925	DeepSAP MS150	human T3	93.9697306367477
1025	DeepSAP MS150	malaria T1	99.5288692165486
1125	DeepSAP MS150	malaria T2	99.3270545988578
1225	DeepSAP MS150	malaria T3	95.2790782927468
209	HISAT2 2.2.1 default	human T1	97.0989812270277
210	HISAT2 2.2.1 default	human T2	90.8435115338362
211	HISAT2 2.2.1 default	human T3	10.7201385916641
212	HISAT2 2.2.1 default	malaria T1	96.0896581679023
213	HISAT2 2.2.1 default	malaria T2	89.4686948919278
214	HISAT2 2.2.1 default	malaria T3	10.8197936078549
233	STAR 2.7.10a default	human T1	95.9490020140468
234	STAR 2.7.10a default	human T2	93.3521527991504
235	STAR 2.7.10a default	human T3	57.093419000993
236	STAR 2.7.10a default	malaria T1	96.7102999946278
237	STAR 2.7.10a default	malaria T2	94.3650467524101
238	STAR 2.7.10a default	malaria T3	62.8391390068291
305	Subjunc 2.0.1 default	human T1	97.0920947842609
306	Subjunc 2.0.1 default	human T2	93.0525862370976
307	Subjunc 2.0.1 default	human T3	41.1071166147286
308	Subjunc 2.0.1 default	malaria T1	95.0479625234137
309	Subjunc 2.0.1 default	malaria T2	88.8985518326962
310	Subjunc 2.0.1 default	malaria T3	33.3109523078646
311	novoSplice 0.8.4 default	human T1	94.7379939601116
312	novoSplice 0.8.4 default	human T2	94.2337574732892
313	novoSplice 0.8.4 default	human T3	85.4130303724928
314	novoSplice 0.8.4 default	malaria T1	96.5446427971018
315	novoSplice 0.8.4 default	malaria T2	96.2993557298788
316	novoSplice 0.8.4 default	malaria T3	87.5303909620432
