	Run	Dataset	TP_mapping	AM_mapping	FN_mapping	FP_mapping
317	DRAGEN 4.0.3 default	human T1	18083184	0	1917756	1386360
318	DRAGEN 4.0.3 default	human T2	18065995	0	1932187	1387697
319	DRAGEN 4.0.3 default	human T3	18002565	0	1996639	1374903
320	DRAGEN 4.0.3 default	malaria T1	18174161	0	1826385	1398819
321	DRAGEN 4.0.3 default	malaria T2	18078019	0	1921677	1328940
322	DRAGEN 4.0.3 default	malaria T3	17902308	0	2098800	1234288
3127	DeepSAP MS150	human T1	18224783	0	1776157	1403449
3225	DeepSAP MS150	human T2	18234671	0	1763511	1399395
3325	DeepSAP MS150	human T3	18252335	0	1746869	1405020
3425	DeepSAP MS150	malaria T1	18225372	0	1775174	1425905
3525	DeepSAP MS150	malaria T2	18217581	0	1782115	1397834
3625	DeepSAP MS150	malaria T3	18187379	0	1813729	1335366
389	HISAT2 2.2.1 default	human T1	17572997	0	2427943	1376933
390	HISAT2 2.2.1 default	human T2	17162141	0	2836041	1342377
391	HISAT2 2.2.1 default	human T3	16331630	0	3667574	1289412
392	HISAT2 2.2.1 default	malaria T1	17550945	0	2449601	1364699
393	HISAT2 2.2.1 default	malaria T2	13962166	0	6037530	1128732
394	HISAT2 2.2.1 default	malaria T3	6709267	0	13291841	609747
413	STAR 2.7.10a default	human T1	17957283	0	2043657	1371107
414	STAR 2.7.10a default	human T2	17877596	0	2120586	1359730
415	STAR 2.7.10a default	human T3	17714760	0	2284444	1347486
416	STAR 2.7.10a default	malaria T1	17987298	0	2013248	1372259
417	STAR 2.7.10a default	malaria T2	17041376	0	2958320	1280599
418	STAR 2.7.10a default	malaria T3	14106062	0	5895046	1043235
485	Subjunc 2.0.1 default	human T1	17373312	0	2627628	1499044
486	Subjunc 2.0.1 default	human T2	17266887	0	2731295	1499383
487	Subjunc 2.0.1 default	human T3	16799528	0	3199676	1512050
488	Subjunc 2.0.1 default	malaria T1	17351028	0	2649518	1726733
489	Subjunc 2.0.1 default	malaria T2	17222865	0	2776831	1575917
490	Subjunc 2.0.1 default	malaria T3	13182176	0	6818932	1550342
491	novoSplice 0.8.4 default	human T1	18155254	0	1845686	1386300
492	novoSplice 0.8.4 default	human T2	18056839	0	1941343	1371707
493	novoSplice 0.8.4 default	human T3	18058192	0	1941012	1368612
494	novoSplice 0.8.4 default	malaria T1	18107713	0	1892833	1384461
495	novoSplice 0.8.4 default	malaria T2	18056404	0	1943292	1315126
496	novoSplice 0.8.4 default	malaria T3	17698708	0	2302400	1208038
