	Run	Dataset	F1_Base
137	DRAGEN 4.0.3 default	human T1	98.7051714531733
138	DRAGEN 4.0.3 default	human T2	98.4632647880173
139	DRAGEN 4.0.3 default	human T3	94.2295250701541
725	DeepSAP MS150	human T1	98.633348540146
825	DeepSAP MS150	human T2	98.4426612493652
925	DeepSAP MS150	human T3	94.3695755715495
209	HISAT2 2.2.1 default	human T1	98.3689246874682
210	HISAT2 2.2.1 default	human T2	95.2471657585918
211	HISAT2 2.2.1 default	human T3	36.6680909016326
233	STAR 2.7.10a default	human T1	98.6868328267477
234	STAR 2.7.10a default	human T2	98.0264365119837
235	STAR 2.7.10a default	human T3	85.7869617498855
305	Subjunc 2.0.1 default	human T1	95.7733854736952
306	Subjunc 2.0.1 default	human T2	93.7267790660568
307	Subjunc 2.0.1 default	human T3	58.9195835116246
311	novoSplice 0.8.4 default	human T1	97.8647546090598
312	novoSplice 0.8.4 default	human T2	97.3561176410204
313	novoSplice 0.8.4 default	human T3	91.032251377448
