	Run	Dataset	F1_Insertion
137	DRAGEN 4.0.3 default	human T1	82.7905832780167
138	DRAGEN 4.0.3 default	human T2	80.9191984629439
139	DRAGEN 4.0.3 default	human T3	59.3850450034618
725	DeepSAP MS150	human T1	90.1260756983086
825	DeepSAP MS150	human T2	87.7727687710203
925	DeepSAP MS150	human T3	67.5461904121352
209	HISAT2 2.2.1 default	human T1	78.0730591535475
210	HISAT2 2.2.1 default	human T2	56.9911193165363
211	HISAT2 2.2.1 default	human T3	1.74406807462652
233	STAR 2.7.10a default	human T1	75.2729358547465
234	STAR 2.7.10a default	human T2	66.8482124616956
235	STAR 2.7.10a default	human T3	23.566383372775
305	Subjunc 2.0.1 default	human T1	85.8836150753798
306	Subjunc 2.0.1 default	human T2	81.280987654321
307	Subjunc 2.0.1 default	human T3	22.1225928654109
311	novoSplice 0.8.4 default	human T1	86.0323606000226
312	novoSplice 0.8.4 default	human T2	83.6171780708031
313	novoSplice 0.8.4 default	human T3	58.5081990256369
