	Run	Dataset	IO_in
137	DRAGEN 4.0.3 default	human T1	5.02242279052734
138	DRAGEN 4.0.3 default	human T2	3.48892974853516
139	DRAGEN 4.0.3 default	human T3	3.90866088867188
725	DeepSAP MS150	human T1	5.26655578613281
825	DeepSAP MS150	human T2	6.26320648193359
925	DeepSAP MS150	human T3	6.55975341796875
209	HISAT2 2.2.1 default	human T1	10.9951019287109
210	HISAT2 2.2.1 default	human T2	4.31310272216797
211	HISAT2 2.2.1 default	human T3	4.29538726806641
233	STAR 2.7.10a default	human T1	57.7280502319336
234	STAR 2.7.10a default	human T2	57.7265319824219
235	STAR 2.7.10a default	human T3	57.7485885620117
305	Subjunc 2.0.1 default	human T1	0
306	Subjunc 2.0.1 default	human T2	0
307	Subjunc 2.0.1 default	human T3	7.78408050537109
311	novoSplice 0.8.4 default	human T1	14.1145248413086
312	novoSplice 0.8.4 default	human T2	8.15113830566406
313	novoSplice 0.8.4 default	human T3	14.1037292480469
