	Run	Dataset	RAM
137	DRAGEN 4.0.3 default	human T1	43.215160369873
138	DRAGEN 4.0.3 default	human T2	42.9014701843262
139	DRAGEN 4.0.3 default	human T3	38.7330322265625
725	DeepSAP MS150	human T1	31.9338264465332
825	DeepSAP MS150	human T2	32.2674827575684
925	DeepSAP MS150	human T3	32.8902244567871
209	HISAT2 2.2.1 default	human T1	5.64521408081055
210	HISAT2 2.2.1 default	human T2	5.73149871826172
211	HISAT2 2.2.1 default	human T3	5.64650726318359
233	STAR 2.7.10a default	human T1	30.172233581543
234	STAR 2.7.10a default	human T2	30.1796379089355
235	STAR 2.7.10a default	human T3	30.1461868286133
305	Subjunc 2.0.1 default	human T1	8.44694137573242
306	Subjunc 2.0.1 default	human T2	8.51670074462891
307	Subjunc 2.0.1 default	human T3	8.54164886474609
311	novoSplice 0.8.4 default	human T1	29.9460525512695
312	novoSplice 0.8.4 default	human T2	29.9480972290039
313	novoSplice 0.8.4 default	human T3	29.9450187683105
